WATERBODY_LID,SHORE.WETLANDS,HEATH,FORESTS,AGRICULTURE,DISTURBANCE,GRASSLANDS,SAND.MINE.TAILING,BEDROCK,URBAN
15-3532-55170,0.001989529,0,0.978010471,0,0,0,0,0.02,0
15-3559-55281,0.042101219,0,0.801668908,0,0.093750353,0,0,0.06247952,0
15-3653-55394,0.018831327,0,0.929792125,0,0.004159978,0,0,0.047216571,0
15-3654-55172,0.019760884,0,0.943221295,0,0,0,0,0.037017821,0
15-3754-55732,0.016661984,0,0.979415213,0,0.000411843,0,0,0.00351096,0
15-3755-55568,0.007631515,0,0.981509411,0,0,0,0,0.010859073,0
15-3795-55615,0,0,0.966439385,0,0.014630764,0,0,0.018929851,0
15-3895-55970,0,0,1,0,0,0,0,0,0
15-3982-55227,0.025671775,0,0.75526174,0,0.184759866,0,0,0.002593236,0.031713383
15-4058-55081,0.010816409,0,0.797910569,0,0.090935291,0,0,0.004899356,0.095438375
15-4100-55022,0.043424872,0,0.853732393,0,0.102491044,0,0,0.000351691,0
15-4109-56434,0.059785023,0,0.531225016,0,0.408989962,0,0,0,0
15-4115-55351,0,0,0.698689156,0,0.284994042,0,0,0.016316803,0
15-4124-55428,0.004557051,0,0.963348848,0,0.008159847,0,0,0.023934254,0
15-4148-55077,0.00869808,0,0.946217364,0,0.022005995,0,0,0.023078562,0
15-4153-55253,0.000636,0,0.912950904,0,0.069324042,0,0,0.017089054,0
15-4172-56262,0.027864931,0,0.762811567,0,0.202967618,0,0,0.006355883,0
15-4187-56135,0.03605633,0,0.789418134,0,0.128466861,0,0,0.046058675,0
15-4216-54977,0,0,0.940781797,0,0.059218203,0,0,0,0
15-4218-54877,0.023771503,0,0.928714178,0,0.045582765,0,0,0.001931554,0
15-4250-55493,0,0,0.932289868,0,0.010856639,0,0,0.056853493,0
15-4255-56385,0.037453218,0,0.920326126,0,0.041964441,0,0,0.000256216,0
15-4270-56011,0.029705545,0,0.783643533,0,0.177485754,0,0,0.009165168,0
15-4279-55138,0,0,0.915761699,0,0.027678555,0,0,0.056559746,0
15-4298-55335,0.001566289,0,0.940026273,0,0,0,0,0.058407437,0
15-4304-57399,0.224832643,0,0.700129205,0,0.067455546,0,0,0.002289604,0.005293002
15-4305-55763,0.006045748,0,0.848439769,0,0.145514484,0,0,0,0
15-4342-54693,0.010574018,0,0.979592145,0,0.009093656,0,0,0.000740181,0
15-4351-55357,0,0,0.953026706,0,0,0,0,0.046973294,0
15-4356-57093,0.187931126,0,0.806863256,0,0.004812741,0,0,0.000392877,0
15-4375-54620,0.009229712,0,0.976680249,0,0.009524277,0,0,0.004565762,0
15-4390-55083,0,0,0.908849105,0,0.07431202,0,0,0.016838875,0
15-4395-54864,0.004012084,0,0.935129985,0,0.013316746,0,0,0.047541185,0
15-4396-54165,0.033588056,0,0.882438119,0.034063359,0.047497108,0,0,0.002413359,0
15-4399-55286,0.000828599,0,0.962123607,0,0,0,0,0.037047794,0
15-4403-54276,0.010443616,0,0.790747905,0,0.187415442,0,0,0.011393036,0
15-4414-56807,0.23502685,0,0.470322351,0,0.292453978,0,7.23E-05,0.000282171,0.001842343
15-4430-54221,0.023321761,0,0.964133959,0,0.005000044,0,0,0.007544236,0
15-4431-54685,0.036643958,0,0.893954823,0,0.067890522,0,0,0.001510697,0
15-4452-55268,0,0,0.989556395,0,0.004873682,0,0,0.005569922,0
15-4470-55367,0.000810917,0,0.93211789,0,0.016274258,0,0,0.050796935,0
15-4479-54411,0.002578006,0,0.921286761,0,0.076135233,0,0,0,0
15-4487-55234,0,0,1,0,0,0,0,0,0
15-4557-54838,0.009103867,0,0.99014308,0,0,0,0,0.000753053,0
15-4562-54445,0.006971728,0,0.931669363,0,0.061358909,0,0,0,0
15-4579-53993,0.111880248,0,0.711354509,0.030741146,0.146024096,0,0,0,0
15-4589-56848,0.281416673,0,0.378681237,0,0.324712457,0,0,0.000538681,0.014650952
15-4593-54629,0.020810611,0,0.892042118,0,0.086290796,0,0,0.000856476,0
15-4595-54375,0.009884026,0,0.930880348,0,0.057925877,0,0,0.001309748,0
15-4602-54790,0.014632246,0,0.926286449,0,0.058394114,0,0,0.000687191,0
15-4602-55724,0,0,0.928019048,0,0.071498849,0,0,0.000482103,0
15-4606-55329,0.074531923,0,0.7291194,0,0.194228282,0,0,0.002120396,0
15-4610-54218,0.010245902,0,0.808629326,0,0.17696949,0,0,0.004155282,0
15-4613-57020,0.179698634,0,0.671528351,0,0.147933484,0,0,0.000375048,0.000464483
15-4632-54287,0.042046847,0,0.845260793,0,0.10943529,0,0,0.00325707,0
15-4642-55404,0,0,0.809617356,0,0.188930646,0,0,0.001451999,0
15-4653-55440,0.005141621,0,0.915253981,0,0.079029746,0,0,0.000574652,0
15-4660-56220,0.047191875,0,0.909784787,0,0.042898776,0,0,0.000124562,0
15-4725-54467,0.003886084,0,0.810163386,0,0.18595053,0,0,0,0
15-4729-54570,0.013190084,0,0.897557694,0,0.089252222,0,0,0,0
15-4784-56717,0.198729785,0,0.730562706,0,0.068983793,0,9.30E-05,2.55E-05,0.001605172
15-4785-54790,0.023630886,0,0.976191883,0,0.000177232,0,0,0,0
15-4785-55574,0.004377163,0,0.965727556,0,0.023064453,0,0,0.006830829,0
15-4880-55820,0.005783804,0,0.976396868,0,0.013759248,0,0,0.00406008,0
15-4919-56922,0.133860302,0,0.522008679,0,0.344131019,0,0,0,0
15-4943-54343,0,0,0.955725047,0,0.042905381,0,0,0.001369572,0
15-5023-54567,0.011129889,0,0.943924238,0,0.044825972,0,0,0.000119901,0
15-5026-55337,0.01568999,0,0.854831303,0,0.126013449,0,0,0.000968583,0.002496675
15-5035-56302,0.019844602,0,0.86955576,0,0.109471586,0,0,0.001128052,0
15-5045-56849,0.229982131,0,0.766390827,0,0.003627042,0,0,0,0
15-5085-55575,0.000625205,0,0.816556995,0,0.182606793,0,0,0.000211007,0
15-5100-54230,0.027613112,0,0.943876818,0,0.028510071,0,0,0,0
15-5124-54968,0.04082225,0,0.881916714,0,0.077261036,0,0,0,0
15-5149-54725,0.009730996,0,0.952727606,0,0.037541398,0,0,0,0
15-5172-54948,0.074883547,0,0.862556261,0,0.062560192,0,0,0,0
15-5209-57140,0.20375637,0,0.79624363,0,0,0,0,0,0
15-5210-56629,0.106500158,0,0.718547925,0,0.163733479,0,0,0,0.011218438
15-5213-56724,0.108635737,0,0.637306691,0,0.254057572,0,0,0,0
15-5221-54041,0.037664239,0,0.889901759,0,0.072434001,0,0,0,0
15-5236-53978,0.021258362,0,0.839538827,0,0.139202811,0,0,0,0
15-5241-55137,0.183691214,0,0.536624919,0.001270003,0.199766515,0,0,0.009349173,0.069298177
15-5275-54864,0,0,1,0,0,0,0,0,0
15-5282-55495,0.022275497,0,0.429227849,0,0.489861153,0,0,0,0.058635501
15-5293-55287,0.163414709,0,0.668785335,0,0.1473181,0,0,0.001363541,0.019118315
15-5349-56812,0.205822781,0,0.793386797,0,0,0,0.000790423,0,0
15-5394-55901,0.286804321,0,0.329960345,0,0.313578559,0,0,0,0.069656776
15-5396-55107,0.065173382,0,0.586952263,0,0.283941749,0,0,0.003167244,0.060765363
15-5429-54280,0.040691703,0,0.894370175,0,0.064938122,0,0,0,0
15-5433-56498,0.226596697,0,0.440310386,0,0.330288749,0,0,0,0.002804168
15-5452-56951,0.124167188,0,0.824579499,0,0.050328793,0,0,0.00092452,0
15-5463-55189,0.115507458,0,0.702636194,0,0.164452884,0,0,0.000261585,0.017141879
15-5472-54633,0.002841543,0,0.982443321,0,0.014715135,0,0,0,0
15-5477-54774,0.016363276,0,0.979972239,0,0.003664485,0,0,0,0
15-5502-54176,0.120528568,0,0.832427431,0,0.047044001,0,0,0,0
15-5503-53695,0.026548464,0,0.931948647,0,0.041502889,0,0,0,0
15-5503-54708,0.009957448,0,0.969734242,0,0.02030831,0,0,0,0
15-5527-53591,0.023714926,0,0.962733688,0,0.013551386,0,0,0,0
15-5537-54222,0.026840747,0,0.927968111,0,0.045191143,0,0,0,0
15-5586-54227,0.061765851,0,0.925641531,0,0.012592618,0,0,0,0
15-5600-54290,0.011409903,0,0.976947339,0,0.011642758,0,0,0,0
15-5605-56599,0.244107861,0,0.521731596,0,0.23350201,0,0,0.000658533,0
15-5627-54632,0.01176662,0,0.857661615,0,0.130571765,0,0,0,0
15-5662-53769,0.021071495,0,0.966867515,0,0.01206099,0,0,0,0
15-5670-54304,0.001502334,0,0.97613769,0,0.022359977,0,0,0,0
15-5670-55575,0.087773888,0,0.909827564,0,0,0,0,0.002398548,0
15-5688-53944,0.005899391,0,0.975578645,0,0.018521963,0,0,0,0
15-5704-54143,0.14016498,0,0.828182978,0,0.031652042,0,0,0,0
15-5704-54495,0.018809064,0,0.955718421,0,0.025472514,0,0,0,0
15-5747-53824,0.00832509,0,0.969343251,0,0.022331659,0,0,0,0
15-5755-54281,0.024727901,0,0.955002621,0,0.020269479,0,0,0,0
15-5770-54220,0.012904518,0,0.938800764,0,0.048294718,0,0,0,0
15-5782-55201,0.109097214,0,0.771196247,0,0.115358391,0,0,0.001020802,0.003327346
15-5802-54916,0,0,0.356459047,0,0.643540953,0,0,0,0
15-5813-53685,0.011884672,0,0.988043517,0,7.18E-05,0,0,0,0
15-5842-54507,0,0,0.986689759,0,0.013310241,0,0,0,0
15-5849-53998,0.016798776,0,0.909000411,0,0.074200814,0,0,0,0
15-5853-54894,0.098027008,0,0.708617894,0,0.190899524,0,0,0.000761639,0.001693935
15-5858-54247,0.029253122,0,0.96648256,0,0.004264318,0,0,0,0
15-5866-55770,0.092607013,0,0.057306655,0,0.82546185,0,0,0.001907212,0.02271727
15-5888-53453,0.002367364,0,0.997632636,0,0,0,0,0,0
15-5946-55139,0.104481534,0,0.507429959,0,0.386726348,0,0,0.000356396,0.001005763
15-5955-54404,0.000796856,0,0.919292773,0,0.079910371,0,0,0,0
15-5958-53772,0.019584914,0,0.980415086,0,0,0,0,0,0
15-5975-53595,0.012732744,0,0.987267256,0,0,0,0,0,0
15-6015-54420,0.003685874,0,0.995028661,0,0.001285465,0,0,0,0
15-6034-54181,0.013496491,0,0.962288555,0,0.024214954,0,0,0,0
15-6046-55042,0.175356412,0,0.640471404,0,0.183065602,0,0,0.001106582,0
15-6048-54975,0.123970399,0,0.851916775,0,0.020228479,0,0,0.000995986,0.00288836
15-6052-53411,0.006974972,0,0.993025028,0,0,0,0,0,0
15-6059-54782,0.015425947,0,0.939162839,0,0.045411214,0,0,0,0
15-6060-55787,0.202703797,0,0.797296203,0,0,0,0,0,0
15-6065-54144,0.024292493,0,0.96975884,0,0.005948668,0,0,0,0
15-6075-53504,0.019415059,0,0.980584941,0,0,0,0,0,0
15-6076-54043,0.11978328,0,0.854362246,0,0.025854474,0,0,0,0
15-6090-55164,0.089280167,0,0.511418296,0,0.397616888,0,0,0,0.001684649
15-6111-54547,0.096030215,0,0.606395918,0,0.297573868,0,0,0,0
15-6126-53450,0.002059096,0,0.997940904,0,0,0,0,0,0
15-6136-53934,0.052353737,0,0.821710032,0,0.125936231,0,0,0,0
15-6146-53867,0.014671265,0,0.951007344,0,0.03432139,0,0,0,0
15-6164-54885,0.067671614,0,0.423274734,0,0.472118808,0,0,0.000943406,0.035991438
15-6217-56090,0.161871611,0,0.72294981,0,0.114445138,0,0,0.000733441,0
15-6228-53450,0.013390885,0,0.986609115,0,0,0,0,0,0
15-6250-53348,0.001493493,0,0.998506507,0,0,0,0,0,0
15-6253-53286,0,0,1,0,0,0,0,0,0
15-6263-53964,0,0,0.862381084,0,0.137618916,0,0,0,0
15-6304-54898,0.167492675,0,0.61374143,0,0.214382338,0,0,0.000162376,0.00422118
15-6317-54251,0.020312343,0,0.504870945,0,0.474816712,0,0,0,0
15-6321-55100,0.178959316,0,0.445189453,0,0.370770037,0,0,0,0.005081194
15-6332-53357,0.002052545,0,0.996414888,0,0.001532567,0,0,0,0
15-6345-54482,0.015346029,0,0.967008851,0,0.01764512,0,0,0,0
15-6348-53492,0.012918821,0,0.93772712,0,0.049354059,0,0,0,0
15-6375-53394,0.004303484,0,0.995696516,0,0,0,0,0,0
15-6383-54085,0.028388416,0,0.956810911,0,0.014800673,0,0,0,0
15-6386-53456,0.019532955,0,0.980467045,0,0,0,0,0,0
15-6401-54050,0.020897959,0,0.968923077,0,0.010178964,0,0,0,0
15-6448-54598,0.069589379,0,0.901342754,0,0.029067867,0,0,0,0
15-6457-55062,0.280795009,0,0.472333004,0,0.246086263,0,0,0.000785724,0
15-6471-56202,0.059017792,0,0.940982208,0,0,0,0,0,0
15-6493-54089,0.009398413,0,0.807088709,0,0.183512878,0,0,0,0
15-6500-55194,0.135257209,0,0.658615106,0,0.204440753,0,0,0.001686932,0
15-6508-53496,0.004991645,0,0.930057139,0,0.058459513,0,0,0.006491703,0
15-6523-56318,0.133383924,0,0.598019941,0,0.268007105,0,0,0.00058903,0
15-6531-54804,0.199202923,0,0.480276077,0,0.308473706,0,0,0.00346339,0.008583904
15-6578-54141,0.023897426,0,0.908360767,0,0.067741807,0,0,0,0
15-6617-56410,0.072750844,0,0.257838881,0,0.669410275,0,0,0,0
15-6733-56270,0.22177064,0,0.771799629,0,0,0,0,0.000226113,0.006203618
15-6742-56100,0.248661338,0,0.748955888,0,0,0,0,0.000553929,0.001828845
15-6747-53842,0.08181105,0,0.76087333,0,0.157315619,0,0,0,0
15-6758-53944,0.026824146,0,0.89995344,0,0.073222413,0,0,0,0
15-6767-55061,0.182082825,0,0.621850252,0,0.196066923,0,0,0,0
15-6775-54775,0.129664498,0,0.46658108,0,0.339170375,0,0,0.001774506,0.06280954
15-6824-55113,0.087639556,0,0.883441124,0,0.025551902,0,0,0.000130072,0.003237345
15-6825-55952,0.228939894,0,0.696932685,0,0.06995565,0,0,9.75E-05,0.004074312
15-6828-53703,0.197219528,0,0.802780472,0,0,0,0,0,0
15-6832-53585,0.08319947,0,0.911416805,0,0.005383724,0,0,0,0
15-6843-53443,0.041300645,0,0.952862146,0,0.005837209,0,0,0,0
15-6844-53328,0.002715101,0,0.997112183,0,0.000172716,0,0,0,0
15-6869-55111,0.171808334,0,0.700254522,0,0.127937144,0,0,0,0
15-6881-55875,0.33875035,0,0.542760188,0,0.073409919,0,0,0.00068491,0.044394633
15-6895-56512,0.318763819,0,0.612158425,0,0.064613299,0,0,0.000200304,0.004264154
15-6908-56374,0.320095062,0,0.679904938,0,0,0,0,0,0
15-6913-53983,0.035747047,0,0.8302663,0,0.133986654,0,0,0,0
15-6931-55274,0.104760107,0,0.231373752,0,0.663630142,0,0,0.000235999,0
15-6958-53562,0.030537327,0,0.880600601,0,0.088862072,0,0,0,0
15-6979-53586,0.014485626,0,0.983636608,0,0.001877766,0,0,0,0
15-6981-54703,0.10266113,0,0.805978653,0,0.091360217,0,0,0,0
15-6985-55358,0.080079262,0,0.289302743,0,0.62844139,0,0,0,0.002176605
15-7008-55644,0.276074794,0,0.607471111,0,0.1162418,0,0,0.000212295,0
15-7020-53669,0.125935162,0,0.874064838,0,0,0,0,0,0
15-7031-55216,0.054553524,0,0.471414236,0,0.472256886,0,0,0,0.001775353
15-7043-56488,0.376204703,0,0.618914633,0,0.004880664,0,0,0,0
15-7048-55476,0.185266436,0,0.645947782,0,0.164562786,0,0,0,0.004222996
15-7050-54058,0.049154944,0,0.930701024,0,0.020144032,0,0,0,0
15-7053-53459,0.018549619,0,0.962637235,0,0.018813146,0,0,0,0
15-7080-54418,0.207493342,0,0.681189907,0,0.111316752,0,0,0,0
15-7085-54809,0.064616425,0,0.741441489,0,0.193942086,0,0,0,0
15-7091-53688,0.04586555,0,0.953306957,0,0.000827493,0,0,0,0
15-7111-54802,0.004780434,0,0.995219566,0,0,0,0,0,0
15-7156-54333,0.158206518,0,0.730625041,0,0.111168441,0,0,0,0
15-7163-54881,0.035086224,0,0.897708433,0,0.067205342,0,0,0,0
15-7307-50900,0.023023978,0,0.512643549,0,0.464332473,0,0,0,0
16-3069-55034,0.178513165,0,0.252080537,0,0.564852865,0,0,0,0.004553433
16-3076-55545,0.2751216,0,0.559012415,0,0.160602459,0,0,0,0.005263526
16-3103-54530,0.010829846,0,0.823322701,0,0.115864968,0,0.049982485,0,0
16-3132-54041,0.008765776,2.69E-06,0.923094499,0,0.068137037,0,0,0,0
16-3199-53954,0,0,0.973870866,0,0.026129134,0,0,0,0
16-3237-55525,0.137107579,0,0.465981099,0,0.364485643,0,0,0.001792374,0.030633306
16-3297-55263,0.027010258,0,0.725926539,0,0.24590503,0,0,0.001158173,0
16-3319-54724,0,0,0.693588975,0,0.306411025,0,0,0,0
16-3346-55390,0.048006924,0,0.516335574,0,0.402418693,0,0,0.000608573,0.032630236
16-3411-55531,0.017696251,0,0.569525359,0,0.368445914,0,0,0,0.044332476
16-3431-54406,0.00381444,0,0.942525274,0,0.053660285,0,0,0,0
16-3483-54344,0.03829954,0,0.685669507,0,0.276030953,0,0,0,0
16-3500-55543,0.019530287,0,0.832251171,0,0.099736994,0,0,0.002701981,0.045779568
16-3534-54692,0.027124088,0,0.842632036,0,0.130243876,0,0,0,0
16-3557-55322,0,0,0.296038284,0,0.703961716,0,0,0,0
16-3576-55491,0.103594814,0,0.767069945,0,0.111690733,0,0,0.009028229,0.008616279
16-3634-54687,0.008360535,0,0.691799329,0,0.299840136,0,0,0,0
16-3666-53602,0.006683436,0,0.993316564,0,0,0,0,0,0
16-3964-54451,0.073340044,0,0.805649931,0,0.121010025,0,0,0,0
16-4359-55570,0.207847964,0,0.714454299,0,0.072883258,0,0,0,0.00481448
16-4433-55531,0.302945166,0,0.490048418,0,0.205954053,0,0,0,0.001052362
16-4521-55219,0.225787307,0,0.187989169,0,0.586223525,0,0,0,0
16-5412-54570,0.06976937,0,0.320820534,0,0.607246896,0,0,3.53E-05,0.002127911
16-6003-54025,0.383178477,0,0.389945224,0,0.211182219,0,0,0.001005686,0.014688394
16-6053-54810,0.322514884,0,0.318113374,0,0.304515023,0,0,0,0.054856719
16-6225-54072,0.208451969,0,0.451159576,0,0.33231927,0,0,0.000726581,0.007342604
16-6348-54346,0.471296985,0,0.245603402,0,0.282576154,0,0,0,0.000523459
16-6398-54390,0.442996551,0,0.409121731,0,0.147881718,0,0,0,0
16-6420-54760,0.999344907,0,0.000655093,0,0,0,0,0,0
16-6439-54864,0.43960459,0,0.265080787,0,0.287091366,0,0,0,0.008223256
16-6450-53469,0.041468518,0,0.838329846,0,0.110481263,0,0,0,0.009720373
